Predicted_gap (scaled),Predicted_Lc (scaled)
0.23217876,0.08621812
0.23170614,0.086834535
0.23117441,0.08750328
0.2305947,0.08821456
0.22997814,0.08895884
0.22933844,0.08972864
0.22870997,0.09053511
0.22812662,0.09134316
0.22758675,0.09214339
0.22706226,0.09292776
0.22663322,0.094865926
0.22643378,0.0977911
0.2262013,0.10028476
0.22630425,0.104403995
0.22634932,0.10818209
0.22622715,0.11110869
0.22585277,0.11279655
0.22521931,0.11323949
0.22440302,0.112803996
0.2234182,0.11163075
0.22232461,0.11003534
0.22176324,0.11136394
0.22120804,0.11319816
0.22061205,0.11520765
0.2200395,0.11736817
0.21951163,0.119749956
0.21904796,0.12241974
0.2186406,0.12533006
0.21833044,0.12830138
0.21814957,0.13121556
0.21794707,0.13406199
0.21766329,0.1366468
0.21719459,0.1390853
0.21667226,0.14133075
0.21612987,0.14346898
0.21562135,0.14605495
0.21516275,0.14896214
0.21478409,0.15204474
0.21448903,0.15528351
0.21419188,0.15843925
0.21386862,0.16144103
0.21349525,0.16421723
0.2130262,0.16667426
0.21245652,0.16884705
0.21182862,0.17086875
0.211153,0.17278418
0.21032535,0.1755636
0.20949388,0.17939052
0.20868315,0.18286416
0.207905,0.18641958
0.20740259,0.18975526
0.20706041,0.19316143
0.20683011,0.19673643
0.20667568,0.2004273
0.20657709,0.20425528
0.20654252,0.20796359
0.2064814,0.21159163
0.20615533,0.21469784
0.20535715,0.2174229
0.20420058,0.22014135
0.20290118,0.22253597
0.20152964,0.22477162
0.2001092,0.22694448
0.19890131,0.23026517
0.1979518,0.23475271
0.19721848,0.23857376
0.19667888,0.24206737
0.19628343,0.24549118
0.19596925,0.24890947
0.19591644,0.25190958
0.19588321,0.25476784
0.19578645,0.25759035
0.19558257,0.26033488
0.19537556,0.26308694
0.19559899,0.2660453
0.19581477,0.2689972
0.19602995,0.27189258
0.19624671,0.27468935
0.19646427,0.27740392
0.19666728,0.279981
0.19685972,0.2825305
0.19704923,0.28508538
0.19722985,0.28768882
0.19742973,0.29024586
0.19764104,0.29278678
0.19795269,0.29591775
0.19824414,0.2990961
0.1983008,0.30185118
0.19823101,0.30431095
0.19817257,0.30678564
0.19821425,0.30963778
0.1983197,0.31267175
0.19843942,0.31563655
0.19841903,0.31827834
0.19831583,0.32074004
0.19820836,0.3231986
0.19807911,0.32563707
0.19796106,0.32829443
0.1978871,0.33137798
0.19779634,0.33450487
0.19769205,0.33770266
0.19763044,0.3411602
0.19762687,0.3447908
0.19762708,0.34839955
0.19763088,0.35197142
0.19764584,0.3555422
0.19768342,0.35918054
0.19772246,0.36274216
0.19776323,0.36623022
0.19780293,0.36967793
0.19783865,0.37312242
0.19786754,0.3765997
