Epoch,Training Loss,Validation Loss
1,0.00788196548819542,
2,0.007294459268450737,
3,0.006708736531436443,
4,0.006157429423183203,
5,0.005616982001811266,
6,0.005151319317519665,
7,0.004705989733338356,
8,0.004279104992747307,
9,0.0038887152913957834,
10,0.0035353777930140495,
11,0.0031819932628422976,
12,0.002886100672185421,
13,0.0026059546507894993,
14,0.0023411866277456284,
15,0.0021001342684030533,
16,0.0018896968103945255,
17,0.0016830313252285123,
18,0.0015120637835934758,
19,0.001332262996584177,
20,0.001188246882520616,
21,0.00105029356200248,
22,0.0009254002361558378,
23,0.0008155633695423603,
24,0.0007157547515816987,
25,0.0006293803453445435,
26,0.0005510786431841552,
27,0.00048396698548458517,
28,0.0004182431730441749,
29,0.0003653851163107902,
30,0.00031687633600085974,
31,0.0002735905291046947,
32,0.00023585077724419534,
33,0.0002026283909799531,
34,0.00017617088451515883,
35,0.00015140189498197287,
36,0.0001295896217925474,
37,0.00010951104923151433,
38,9.421451250091195e-05,
39,8.001666719792411e-05,
40,6.856209802208468e-05,
41,5.779964703833684e-05,
42,4.965699918102473e-05,
43,4.394845018396154e-05,
44,3.8641082937829196e-05,
45,3.224749889341183e-05,
46,2.7975247576250695e-05,
47,2.4682529328856617e-05,
48,2.166055128327571e-05,
49,1.9563103705877438e-05,
50,1.7156460671685636e-05,
51,1.6044743460952304e-05,
52,1.4384298083314206e-05,
53,1.2820602023566607e-05,
54,1.1931070730497595e-05,
55,1.1721283954102546e-05,
56,1.0626591574691702e-05,
57,9.959439012163784e-06,
58,1.0010348887590226e-05,
59,9.861510079645086e-06,
60,9.713216059026308e-06,
61,9.257104466087185e-06,
62,9.364822290081065e-06,
63,8.90558567334665e-06,
64,8.91091076482553e-06,
65,8.726314263185486e-06,
66,8.580859685025644e-06,
67,8.562098628317472e-06,
68,8.576833351980895e-06,
69,8.684390195412561e-06,
70,8.72950658958871e-06,
71,8.490262189297937e-06,
72,8.600779437983874e-06,
73,8.473267371300608e-06,
74,8.389280083065387e-06,
75,8.427019565715455e-06,
76,8.509340659657028e-06,
77,8.213301953219343e-06,
78,8.373808668693528e-06,
79,8.251357940025628e-06,
80,8.342575711139943e-06,
81,8.12828238849761e-06,
82,8.283104762085713e-06,
83,8.178941243386362e-06,
84,8.305917617690284e-06,
85,8.109862392302603e-06,
86,8.260307367891073e-06,
87,8.02939848654205e-06,
88,8.245359822467435e-06,
89,8.076663107203785e-06,
90,8.084566616162192e-06,
91,8.077582606347278e-06,
92,8.088827598839998e-06,
93,7.964844371599611e-06,
94,7.937615919217933e-06,
95,7.918645678728353e-06,
96,8.00302041170653e-06,
97,7.977446330187377e-06,
98,7.794986231601797e-06,
99,7.904390258772764e-06,
100,7.957577508932445e-06,
101,7.773549441481009e-06,
102,7.699492016399745e-06,
103,7.868354259699117e-06,
104,7.799951163178775e-06,
105,7.828692105249502e-06,
106,7.790790732542519e-06,
107,7.655134140804876e-06,
108,7.664895747439004e-06,
109,7.672467290831264e-06,
110,7.730621291557327e-06,
111,7.649095095985103e-06,
112,7.6205446930543985e-06,
113,7.592548627144424e-06,
114,7.641523552592844e-06,
115,7.547975201305235e-06,
116,7.651270607311744e-06,
117,7.584077593492111e-06,
118,7.509887382184388e-06,
119,7.48616275814129e-06,
120,7.559173354820814e-06,
121,7.602148798468988e-06,
122,7.500263109250227e-06,
123,7.510844170610653e-06,
124,7.461716904799687e-06,
125,7.497319529647939e-06,
126,7.468579497071914e-06,
127,7.415843356284313e-06,
128,7.476060545741348e-06,
129,7.4168219725834206e-06,
130,7.397321951430058e-06,
131,7.382895546470536e-06,
132,7.366057161561912e-06,
133,7.3340843300684355e-06,
134,7.389823622361291e-06,
135,7.323124464164721e-06,
136,7.337735041801352e-06,
137,7.398840807582019e-06,
138,7.285593255801359e-06,
139,7.286931122507667e-06,
140,7.3358869485673495e-06,
141,7.287789685506141e-06,
142,7.2660100158827845e-06,
143,7.269818524946459e-06,
144,7.279824785655364e-06,
145,7.249473128467798e-06,
146,7.205846486613154e-06,
147,7.261041446326999e-06,
148,7.231279596453533e-06,
149,7.162960628193105e-06,
150,7.225117769849021e-06,
151,7.109762918844353e-06,
152,7.161756457207957e-06,
153,7.168453976191813e-06,
154,7.176181497925427e-06,
155,7.137701686588116e-06,
156,7.142581125663128e-06,
157,7.100495167833287e-06,
158,7.092306987033226e-06,
159,7.1329295678879134e-06,
160,7.121649105101824e-06,
161,7.0954033617454115e-06,
162,7.020149041636614e-06,
163,7.036138413241133e-06,
164,7.094152351783123e-06,
165,6.984444553381763e-06,
166,7.002669008215889e-06,
167,7.035627277218737e-06,
168,6.963710347918095e-06,
169,6.946389930817531e-06,
170,7.012046353338519e-06,
171,6.921060958120506e-06,
172,6.909307558089495e-06,
173,6.912964181537973e-06,
174,6.949239377718186e-06,
175,6.884742560941959e-06,
176,6.894840680615744e-06,
177,6.8993749664514326e-06,
178,6.858997949166223e-06,
179,6.8374647526070476e-06,
180,6.888084953970974e-06,
181,6.855942956462968e-06,
182,6.863310773042031e-06,
183,6.788283371861326e-06,
184,6.829471203673165e-06,
185,6.7846467572962865e-06,
186,6.850656518508913e-06,
187,6.785358436900424e-06,
188,6.747747647750657e-06,
189,6.737050171068404e-06,
190,6.799863967899e-06,
191,6.7180744736106135e-06,
192,6.696695891150739e-06,
193,6.716519237670582e-06,
194,6.738295724062482e-06,
195,6.696286618534941e-06,
196,6.6816260186897125e-06,
197,6.69199744152138e-06,
198,6.651617695752066e-06,
199,6.633757948293351e-06,
200,6.637492788286181e-06,
201,6.619408850383479e-06,
202,6.571076937689213e-06,
203,6.572692200279562e-06,
204,6.6011389208142646e-06,
205,6.617846793233184e-06,
206,6.60878004055121e-06,
207,6.5901608650165144e-06,
208,6.554030278493883e-06,
209,6.554317678819643e-06,
210,6.508934802695876e-06,
211,6.503664280899102e-06,
212,6.548767032654723e-06,
213,6.502101769001456e-06,
214,6.4690157159930095e-06,
215,6.483576726168394e-06,
216,6.4674095483496785e-06,
217,6.448930434999056e-06,
218,6.487235168606276e-06,
219,6.439567187044304e-06,
220,6.4312653194065206e-06,
221,6.393275725713465e-06,
222,6.397246579581406e-06,
223,6.398881851055194e-06,
224,6.395368927769596e-06,
225,6.327938081085449e-06,
226,6.327874871203676e-06,
227,6.321186447166838e-06,
228,6.324362402665429e-06,
229,6.3293623497884255e-06,
230,6.297894287854433e-06,
231,6.294186277955305e-06,
232,6.297125764831435e-06,
233,6.289280008786591e-06,
234,6.278012733673677e-06,
235,6.252932507777587e-06,
236,6.228943675523624e-06,
237,6.263844170462107e-06,
238,6.2575868469139095e-06,
239,6.299480901361676e-06,
240,6.20795526629081e-06,
241,6.201350061019184e-06,
242,6.181950084283017e-06,
243,6.168526397232199e-06,
244,6.152825790195493e-06,
245,6.181853223097278e-06,
246,6.131544978416059e-06,
247,6.118733381299535e-06,
248,6.1051082411722746e-06,
249,6.0949228100071196e-06,
250,6.114614279795205e-06,
251,6.092049716244219e-06,
252,6.141473932075314e-06,
253,6.0598563322855625e-06,
254,6.034606485627592e-06,
255,6.052304343029391e-06,
256,6.042199856892694e-06,
257,6.012703124724794e-06,
258,6.01085412199609e-06,
259,5.990130375721492e-06,
260,6.008546279190341e-06,
261,5.997746484354138e-06,
262,6.024443791829981e-06,
263,5.943382348050363e-06,
264,5.984882591292262e-06,
265,5.912884262215812e-06,
266,5.93599861531402e-06,
267,5.917064754612511e-06,
268,5.909975243412191e-06,
269,5.93781487623346e-06,
270,5.904872523387894e-06,
271,5.8682262533693574e-06,
272,5.8708292272058316e-06,
273,5.855486961081624e-06,
274,5.886062808713177e-06,
275,5.901347776671173e-06,
276,5.8245159380021505e-06,
277,5.852148206031416e-06,
278,5.811094524688087e-06,
279,5.780042101832805e-06,
280,5.824663276143838e-06,
281,5.846875865245238e-06,
282,5.800463441119064e-06,
283,5.740906544815516e-06,
284,5.760025032941485e-06,
285,5.775692443421576e-06,
286,5.7114057199214585e-06,
287,5.717312433262123e-06,
288,5.748031981056556e-06,
289,5.730554221372586e-06,
290,5.666088327416219e-06,
291,5.683178187609883e-06,
292,5.671134658769006e-06,
293,5.653816060657846e-06,
294,5.646244517265586e-06,
295,5.616357157123275e-06,
296,5.643748863803921e-06,
297,5.627819518849719e-06,
298,5.599330052064033e-06,
299,5.58427200303413e-06,
300,5.5742075346643105e-06,
301,5.5499431255157106e-06,
302,5.556841642828658e-06,
303,5.571715519181453e-06,
304,5.56032591703115e-06,
305,5.549884917854797e-06,
306,5.512351435754681e-06,
307,5.5197592701006215e-06,
308,5.519319074664963e-06,
309,5.476607384480303e-06,
310,5.464772584673483e-06,
311,5.4820852710690815e-06,
312,5.457521183416247e-06,
313,5.484424946189392e-06,
314,5.43417627341114e-06,
315,5.447748208098346e-06,
316,5.419465196609963e-06,
317,5.365299784898525e-06,
318,5.412289283412974e-06,
319,5.3558137551590335e-06,
320,5.418349701358238e-06,
321,5.365653123590164e-06,
322,5.388827048591338e-06,
323,5.354764653020538e-06,
324,5.352069820219185e-06,
325,5.3134735935600474e-06,
326,5.3181038310867734e-06,
327,5.316308033798123e-06,
328,5.295941264193971e-06,
329,5.2768568821193185e-06,
330,5.319086540112039e-06,
331,5.293228696245933e-06,
332,5.276770025375299e-06,
333,5.281828180159209e-06,
334,5.253898962109815e-06,
335,5.2634231906267814e-06,
336,5.250499725661939e-06,
337,5.2224322644178756e-06,
338,5.191416676098015e-06,
339,5.203440196055453e-06,
340,5.220129878580337e-06,
341,5.199619408813305e-06,
342,5.150151537236525e-06,
343,5.148233412910486e-06,
344,5.199948191147996e-06,
345,5.157947271072771e-06,
346,5.181324013392441e-06,
347,5.130685167387128e-06,
348,5.161547051102389e-06,
349,5.107098331791349e-06,
350,5.110740858071949e-06,
351,5.092557785246754e-06,
352,5.083289124740986e-06,
353,5.05165007780306e-06,
354,5.057266207586508e-06,
355,5.094037533126539e-06,
356,5.076780780655099e-06,
357,5.031231012253556e-06,
358,5.049476840213174e-06,
359,5.0249982450623065e-06,
360,5.023824087402318e-06,
361,4.9839400162454695e-06,
362,5.016798240831122e-06,
363,4.996290499548195e-06,
364,4.967223958374234e-06,
365,4.973476734448923e-06,
366,4.966094820701983e-06,
367,4.944854936184129e-06,
368,4.956609245709842e-06,
369,4.924256245431025e-06,
370,4.933696345688077e-06,
371,4.8969322961056605e-06,
372,4.8967722250381485e-06,
373,4.902910859527765e-06,
374,4.902635282633128e-06,
375,4.873884790868033e-06,
376,4.862575224251486e-06,
377,4.886102487944299e-06,
378,4.809715846931795e-06,
379,4.839526809519157e-06,
380,4.8321462600142695e-06,
381,4.819527475774521e-06,
382,4.7978564907680266e-06,
383,4.790583716385299e-06,
384,4.785865257872501e-06,
385,4.7673524932179134e-06,
386,4.80941571368021e-06,
387,4.7932867346389685e-06,
388,4.752009772346355e-06,
389,4.765957328345394e-06,
390,4.765339326695539e-06,
391,4.769978204421932e-06,
392,4.687384716817178e-06,
393,4.731190529128071e-06,
394,4.6939589992689434e-06,
395,4.663552772399271e-06,
396,4.669358531828038e-06,
397,4.673147486755624e-06,
398,4.668185738410102e-06,
399,4.680523488787003e-06,
400,4.683816314354772e-06,
401,4.650510618375847e-06,
402,4.664414518629201e-06,
403,4.632914624380646e-06,
404,4.6492673391185235e-06,
405,4.632951458916068e-06,
406,4.5933570618217345e-06,
407,4.581935172609519e-06,
408,4.588838692143327e-06,
409,4.599403382599121e-06,
410,4.544357125269016e-06,
411,4.5837687139282934e-06,
412,4.538009306997992e-06,
413,4.620238541974686e-06,
414,4.5268770918482915e-06,
415,4.55621920991689e-06,
416,4.523923053056933e-06,
417,4.524690666585229e-06,
418,4.518220521276817e-06,
419,4.488989361561835e-06,
420,4.464114226720994e-06,
421,4.502917818172136e-06,
422,4.473069111554651e-06,
423,4.4840121518063825e-06,
424,4.471133252081927e-06,
425,4.443784291652264e-06,
426,4.432381047081435e-06,
427,4.41925612904015e-06,
428,4.429670298122801e-06,
429,4.397340489958879e-06,
430,4.397566499392269e-06,
431,4.398881628731033e-06,
432,4.39388350059744e-06,
433,4.399837962409947e-06,
434,4.342853571870364e-06,
435,4.3635077418002766e-06,
436,4.3406616896390915e-06,
437,4.338914095569635e-06,
438,4.359143076726468e-06,
